index,ranges,bleu,bleu1,bleu2,rouge1,rouge2,rougeL,meteor
0,"(0.0, 0.2)",74,29,58,34,60,35,55
1,"(0.2, 0.4)",1,17,8,23,8,23,11
2,"(0.4, 0.6)",0,15,1,9,5,8,4
3,"(0.6, 0.8)",0,7,5,8,1,8,4
4,"(0.8, 1.0)",0,7,3,1,1,1,1
