index,ranges,bleu,bleu1,bleu2,rouge1,rouge2,rougeL,meteor
0,"(0.0, 0.2)",146,83,124,83,129,86,111
1,"(0.2, 0.4)",0,26,16,38,13,35,22
2,"(0.4, 0.6)",2,23,4,19,3,19,9
3,"(0.6, 0.8)",1,13,3,7,3,7,3
4,"(0.8, 1.0)",2,6,4,4,3,4,6
