index,ranges,bleu,bleu1,bleu2,rouge1,rouge2,rougeL,meteor
0,"(0.0, 0.2)",107,32,79,35,79,35,63
1,"(0.2, 0.4)",2,41,3,41,14,41,21
2,"(0.4, 0.6)",0,6,14,14,7,14,11
3,"(0.6, 0.8)",0,18,6,11,3,11,8
4,"(0.8, 1.0)",3,15,10,11,9,11,9
