index,ranges,bleu,bleu1,bleu2,rouge1,rouge2,rougeL,meteor
0,"(0.0, 0.2)",75,32,67,40,71,40,63
1,"(0.2, 0.4)",2,22,7,27,4,28,10
2,"(0.4, 0.6)",1,17,2,7,1,7,2
3,"(0.6, 0.8)",0,5,2,4,2,3,3
4,"(0.8, 1.0)",1,3,1,1,1,1,1
