index,ranges,bleu,bleu1,bleu2,rouge1,rouge2,rougeL,meteor
0,"(0.0, 0.2)",1226,438,959,486,994,498,761
1,"(0.2, 0.4)",11,211,75,341,131,361,254
2,"(0.4, 0.6)",10,240,114,207,68,194,113
3,"(0.6, 0.8)",14,187,36,153,31,135,76
4,"(0.8, 1.0)",12,197,89,86,49,85,69
