question_type,bleu,bleu1,bleu2,rouge1,rouge2,rougeL,meteor
closed,0.0,0.7481481481481481,0.0,0.7481481481481481,0.0,0.7481481481481481,0.37407407407407406
for_whats,0.0,0.36138095238095236,0.0971111111111111,0.27755555860261744,0.060959324089758876,0.2712063522534111,0.16983098548156472
hows,0.0018579769756133448,0.18083213083213082,0.031818181818181815,0.1469204336628579,0.027064293730960396,0.1469204336628579,0.09190238126317496
others,0.0,0.34803204458376874,0.07183908045977011,0.31203824494679067,0.07307060755336617,0.30903974419716546,0.21487859057861658
whats,0.018470103221119475,0.4472589278711728,0.1505216454196046,0.35502156499940146,0.12458221847728015,0.34173600647916313,0.23627800502979346
whens,0.029020476129688805,0.19230769230769232,0.0938034188034188,0.1665702740363374,0.07309414232491156,0.16292522627364256,0.1422026597727416
wheres,0.01639344262295082,0.4192622950819672,0.15437158469945353,0.37707372318028054,0.1326362617346224,0.37707372318028054,0.2654803755706432
