index,ranges,bleu,bleu1,bleu2,rouge1,rouge2,rougeL,meteor
0,"(0.0, 0.2)",76,25,61,33,63,33,52
1,"(0.2, 0.4)",0,18,7,20,11,21,15
2,"(0.4, 0.6)",0,12,5,12,2,12,5
3,"(0.6, 0.8)",0,15,0,10,0,9,4
4,"(0.8, 1.0)",1,7,4,2,1,2,1
