index,ranges,bleu,bleu1,bleu2,rouge1,rouge2,rougeL,meteor
0,"(0.0, 0.2)",56,33,51,34,51,34,45
1,"(0.2, 0.4)",0,11,1,13,2,13,6
2,"(0.4, 0.6)",1,3,2,5,1,5,2
3,"(0.6, 0.8)",0,4,2,2,2,2,3
4,"(0.8, 1.0)",0,6,1,3,1,3,1
