index,ranges,bleu,bleu1,bleu2,rouge1,rouge2,rougeL,meteor
0,"(0.0, 0.2)",138,98,136,103,136,103,118
1,"(0.2, 0.4)",1,24,0,21,1,23,11
2,"(0.4, 0.6)",1,10,2,9,2,8,8
3,"(0.6, 0.8)",0,2,0,2,1,1,3
4,"(0.8, 1.0)",2,8,4,7,2,7,2
